id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,86,2020,0.04,0.06,214
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,0.72,0.05,188
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1,78,2010,0.06,0.08,236
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86,58,2020,0.81,0.04,176
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020,0.02,0.09,201
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,52,2010,0.94,0.02,302
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,47,2000,0.63,0.07,248
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,73,2020,0.38,0.05,229
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78,69,2020,0.88,0.03,195
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,82,2010,0.08,0.06,218
11,City Cipher,Rhyme District,hip-hop,confident,0.86,96,0.72,0.83,0.08,88,2020,0.01,0.42,207
12,Electric Horizon,Nova Circuit,edm,euphoric,0.95,128,0.89,0.91,0.03,94,2020,0.31,0.04,221
13,Quiet Constellations,Elena Vale,classical,peaceful,0.22,64,0.52,0.18,0.98,39,1990,0.99,0.01,346
14,Autumn Porch,Willow Roads,folk,warm,0.46,88,0.74,0.49,0.94,55,2010,0.44,0.05,243
15,Velvet Letters,Luna Grey,r&b,romantic,0.58,102,0.8,0.68,0.32,84,2020,0.03,0.11,232
16,Iron Pulse,Gravel Crown,metal,aggressive,0.97,168,0.36,0.57,0.04,76,2010,0.09,0.07,255
17,Island Morning,Sunset Republic,reggae,joyful,0.63,84,0.88,0.76,0.42,67,2000,0.05,0.1,226
18,Old Highway Home,June Hollow,country,nostalgic,0.54,94,0.67,0.61,0.87,62,2000,0.12,0.08,247
19,Salsa Skyline,Ritmo Solar,latin,celebratory,0.9,124,0.93,0.95,0.15,89,2020,0.03,0.12,219
20,Blue Window,Harbor Saints,blues,sad,0.41,76,0.29,0.43,0.91,44,1990,0.18,0.09,264